SMILES,Genotoxicity
CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)[C@H]1OC[C@H](OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@H]1OC(=O)CCCCCCCCCCCCCCCCCCCCC,0
S=[Sb]S[Sb]=S,0
CCN(CCC#N)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,1
CC(C)CC1=CC=C(CC(C)C=O)C=C1,0
CC1=CC=C2OC(C=CC3=NC4=CC(C)=CC=C4O3)=NC2=C1,0
OC(=O)[C@@H](NC(=O)OCC1=CC=CC=C1)C1CCCCC1,0
CCC(C)C1=CC=C2N=CC=CC2=C1,0
COC1=CC=C(NC(=O)C(N=NC2=CC=C(C=C2Cl)C2=CC(Cl)=C(C=C2)N=NC(C(C)=O)C(=O)NC2=CC=C(OC)C=C2)C(C)=O)C=C1,0
CCC[N+]1=C(C)N(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0
Cl.Cl.NC1=CC(N)=C(OCCO)C=C1,0
C1CC(CCN1)N1CCOCC1,0
CC(C)OC(=O)C1=CC(N=NC2=C(O)C(=CC3=C2C=CC=C3)C(=O)NC2=CC(Cl)=C(NC(=O)C3=CC4=C(C=CC=C4)C(N=NC4=C(C)C=CC(=C4)C(=O)OC(C)C)=C3O)C=C2Cl)=C(C)C=C1,0
CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O,0
Cl[Ti](Cl)Cl,0
[Ca++].OC1=C(C=C2C=CC=CC2=C1N=NC1=CC=C2C=CC=CC2=C1S([O-])(=O)=O)C([O-])=O,1
CC(C)=CCC\C(C)=C\COC(=O)CC1=CC=CC=C1,0
[Cu++].CN(C)C([S-])=S.CN(C)C([S-])=S,1
O=C1CCCCCCCCCCC=CCCC1,0
CC(C)(C1CCCO1)C1CCCO1,0
CCCCCCCCCCCCCCOC(=O)C(C)O,0
N1C=NC2=C1C=CC=C2,0
CCC(C)(C)C1CCCCC1OC(C)=O,0
CCCCCCCCN(CCO)CCO,0
[Ca++].[Br-].[Br-],0
[Ba++].[O-][Cr]([O-])(=O)=O,1
Br.CC(=O)NC1CCC2=C(C1)SC(N)=N2,1
NP(N)(=O)NC1=CC=CC=C1[N+]([O-])=O,1
CCOC(=O)C1CCC(C)CC1=O,0
CCCCCCCC[Sn](SCC(=O)OCC(CC)CCCC)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,0
CC1(C)COC(=O)[C@@H]1O,0
CCCCC(CC)COC(=O)C1CCC2OC2C1,0
OCCNCCO.OCCNCCO.COC1=CC(=CC=C1NC(=O)NC1=CC=C(C=C1OC)N=NC1=CC(=CC=C1)S(O)(=O)=O)N=NC1=CC(=CC=C1)S(O)(=O)=O,0
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,0
CCCCC(CC)COC(=O)C1=CC=CC=C1,0
CCCC1CCC(=O)O1,0
CCCCCCCCCCCCC=C,0
[O--].[O--].[O--].[O--].[K+].[K+].[Mo+6],0
CC(C)(CO)COC(=O)C(C)(C)CO,0
CC(C)=C,0
O=C1COCCN1C1=CC=CC=C1,0
[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(S)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,0
CC(C)O[N+]([O-])=O,0
CCOC(=O)C1OC1C1=CC=CC=C1,1
O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,0
ClC(Cl)(Cl)C=O,1
COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1,0
CCCC(=O)OCC,0
CCCCCCCCCCCCCCCCOC(=O)OC1=C(Cl)C=C(C=C1Cl)C(=O)OCC,0
CCN(CC)CC#N,0
SC1=NN=C(S)S1,0
CCCCCCCCCCCCCCCCCCCC,0
[K+].NC(=O)NC([O-])=O,0
CC(C)C(C)(C)C(C)(C)C(C)(C)S,0
CCC(C)=CCCC(C)=O,0
[H][C@]1(COC2=CC=CC=C2O1)C([O-])=O,0
NCCNCC1=CC=C(Cl)N=C1,1
CC(C)C[C@H](N)C1=CC=CC=C1N1CCCCC1,0
[Na+].[O-]S(=O)(=O)CC#C,0
